group_ID,site,week_time,date,weather,time_block,hours_spent_on_site,start_time,activity,sex,age,dogs,dog_size,observer,confirmed,group_size,people_per_hour
BL_JU12_10am_21,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,wheels,M,A,0,NA,NL,Y,1,68
BL_JU12_10am_23,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,run,M,A,0,NA,NL,Y,1,68
BL_JU12_10am_24,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,wheels,M,A,0,NA,NL,Y,2,68
BL_JU12_10am_24,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,wheels,M,A,0,NA,NL,Y,2,68
BL_JU12_10am_25,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,wheels,M,A,0,NA,NL,Y,3,68
BL_JU12_10am_25,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,wheels,M,A,0,NA,NL,Y,3,68
BL_JU12_10am_26,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,walk,M,A,0,NA,NL,Y,2,68
BL_JU12_10am_28,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,run,M,A,0,NA,NL,Y,1,68
BL_JU12_10am_29,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,wheels,M,A,0,NA,NL,Y,2,68
BL_JU12_10am_30,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,wheels,M,A,0,NA,NL,Y,3,68
BL_JU12_10am_31,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,wheels,M,A,0,NA,NL,Y,1,68
BL_JU12_10am_32,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,walk,M,A,0,NA,NL,Y,2,68
BL_JU12_10am_33,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,wheels,M,A,0,NA,NL,Y,3,68
BL_JU12_10am_34,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,run,M,A,0,NA,NL,Y,1,68
BL_JU12_10am_35,BL,WD,07-12-2024,sunny,10:00:00,1,10:00:00,run,M,A,0,NA,NL,Y,1,68
